id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
1,81fd6b,Actuación del Esquema de Deslastre Automático de Carga (EDAC),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=81fd6b
2,2C6C29,Acumulado anual de los calce u operaciones de las órdenes de demanda en Convocatorias,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=2C6C29
3,6A36D0,Acumulado anual de los calce u operaciones de las órdenes de oferta en Convocatorias,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=6A36D0
4,a38a5c,Agentes MEM inscritos en el mecanismo Derivex,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=a38a5c
5,75f675,Aportes Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=75f675
6,1eee63,Aportes Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=1eee63
7,BA1C55,Aportes Hídricos en Energía,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=BA1C55
8,2bff14,Aportes Hídricos en Energía del Informe Diario de Operación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=2bff14
9,02B289,Aportes Hídricos en Masa,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=02B289
10,f138b6,Aportes Hídricos en Masa del Informe Diario,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f138b6
11,34FFDA,Aportes Hídricos en Porcentaje,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=34FFDA
12,ec8596,Aportes Hídricos en Porcentaje del Informe Diario,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ec8596
13,306c67,Asignaciones de OEF por planta,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=306c67
14,DE416B,Calce u operaciones de las órdenes de demanda en Convocatorias de Participación en Subasta de Cierre,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=DE416B
15,11093A,Calce u operaciones de las órdenes de oferta en Convocatorias de Participación en Subasta de Cierre,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=11093A
16,13FC3A,Calculo Frecuencia Interrupción Servidores,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=13FC3A
17,fad372,Cantidad de fronteras de UNR por nivel de consumo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=fad372
18,f73ff2,Cantidad de fronteras de UNR por nivel de tensión,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f73ff2
19,42d664,Cantidades de energía por comercializador de contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=42d664
20,f21bd1,Cantidades horarias de energía por comercializador de contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f21bd1
21,d31647,Cantidades y precios en contratos de energía del Mercado Mayorista por comercializador,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=d31647
22,7E9CBB,Capacidad de respaldo para operaciones en el Mercado Mayorista de Energía,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7E9CBB
23,43d851,Cargos por uso del STN,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=43d851
24,1445AC,Caudal Descargado por Tipo de Descarga,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=1445AC
25,c10ec7,Cobertura de la demanda de contratos realizados fuera del SICEP,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=c10ec7
